split,score_family,top_k,snapshot_time,entry_variant,horizon_min,paired_events,paired_sessions,alt_avg_fwd_atr,immediate_avg_fwd_atr,improvement_atr,session_improvement_atr,improvement_ci_low,improvement_ci_high,improvement_positive_session_rate
VALIDATION,MOMENTUM_ONLY,3,11:00,PULLBACK_NEW_HIGH,120,105,76,0.32426959301679614,1.2034606432645512,-0.8791910502477549,-0.9192190755886055,-1.1817203549468978,-0.6522117485737671,0.15789473684210525
DEV,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,30,51,51,0.3953068957164264,0.7968504178380196,-0.4015435221215934,-0.4015435221215933,-0.8195084794950774,0.08694236665148633,0.29411764705882354
DEV,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,60,51,51,0.47678676996465486,1.0214577565289484,-0.5446709865642936,-0.5446709865642937,-1.0084990971762253,-0.025538602457205677,0.21568627450980393
DEV,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,120,51,51,0.7746160634881883,0.9907672381338068,-0.2161511746456184,-0.21615117464561845,-0.5858117076934745,0.1738536207570263,0.3137254901960784
DEV,FULL_4,1,11:00,CONSOLIDATION_BREAKOUT,30,24,24,0.4792823241231395,0.9294561657595225,-0.45017384163638313,-0.450173841636383,-1.2759938049330772,0.7819839619740544,0.20833333333333334
DEV,FULL_4,1,11:00,CONSOLIDATION_BREAKOUT,60,24,24,0.6153404923441418,1.2996271286843417,-0.6842866363401999,-0.6842866363401999,-1.071082415583496,-0.2672904816063056,0.20833333333333334
DEV,FULL_4,1,11:00,CONSOLIDATION_BREAKOUT,120,24,24,0.9602935079175348,1.5494999967943415,-0.5892064888768068,-0.5892064888768068,-1.0575433440538944,-0.11365924489065012,0.25
DEV,FULL_4,3,10:30,CONSOLIDATION_BREAKOUT,30,142,119,0.23858245974690187,0.7783523557842921,-0.53976989603739,-0.5101528984053754,-0.7738140321717047,-0.21869943920980814,0.2689075630252101
DEV,FULL_4,3,10:30,CONSOLIDATION_BREAKOUT,60,142,119,0.31627567264255096,0.9544731343321979,-0.6381974616896469,-0.6236091590518323,-0.8987667898451142,-0.31918737434100025,0.19327731092436976
DEV,FULL_4,3,10:30,CONSOLIDATION_BREAKOUT,120,142,119,0.4031820727717216,0.986695988327407,-0.5835139155556855,-0.5486911450986106,-0.7768750296716617,-0.30180930221158153,0.2689075630252101
DEV,FULL_4,3,11:00,CONSOLIDATION_BREAKOUT,30,73,68,0.16335291735845156,1.0455411190999346,-0.8821882017414829,-0.8076412792458424,-1.1796637530892482,-0.3476285429086238,0.19117647058823528
DEV,FULL_4,3,11:00,CONSOLIDATION_BREAKOUT,60,73,68,0.04996961052938108,0.9767597733127187,-0.9267901627833376,-0.8924924631795379,-1.2540044865017772,-0.5592848634923029,0.22058823529411764
DEV,FULL_4,3,11:00,CONSOLIDATION_BREAKOUT,120,73,68,0.46550636258150724,1.1964164551726064,-0.7309100925910992,-0.690436631564401,-0.96435939564555,-0.409084346496715,0.22058823529411764
DEV,MOMENTUM_ONLY,1,10:30,CONSOLIDATION_BREAKOUT,30,58,58,0.06326049108538542,0.6457930943880057,-0.5825326033026205,-0.5825326033026204,-0.9463181647524455,-0.13389484513808672,0.22413793103448276
DEV,MOMENTUM_ONLY,1,10:30,CONSOLIDATION_BREAKOUT,60,58,58,0.06884119772292865,0.8058070635843891,-0.7369658658614604,-0.7369658658614604,-1.0247889518072362,-0.44919497000751046,0.22413793103448276
DEV,MOMENTUM_ONLY,1,10:30,CONSOLIDATION_BREAKOUT,120,58,58,-0.23422252423161505,0.45708874398935034,-0.6913112682209653,-0.6913112682209653,-0.9514884228436331,-0.4311229079012842,0.27586206896551724
DEV,MOMENTUM_ONLY,1,11:00,CONSOLIDATION_BREAKOUT,30,32,32,-0.0822993822194224,0.8712712510737108,-0.9535706332931333,-0.9535706332931332,-1.3425325893192077,-0.5541088545738965,0.1875
DEV,MOMENTUM_ONLY,1,11:00,CONSOLIDATION_BREAKOUT,60,32,32,-0.13322345535700097,0.7700924391440861,-0.9033158945010872,-0.9033158945010871,-1.447641869812381,-0.405506090720309,0.25
DEV,MOMENTUM_ONLY,1,11:00,CONSOLIDATION_BREAKOUT,120,32,32,-0.0845289292149819,0.6789991633260102,-0.7635280925409922,-0.7635280925409921,-1.1847239804067435,-0.2860848864494119,0.1875
DEV,MOMENTUM_ONLY,3,10:30,CONSOLIDATION_BREAKOUT,30,166,143,0.14415550790511653,0.7152682645608686,-0.5711127566557521,-0.6151745810009664,-0.8767609969388748,-0.3519160659692089,0.23076923076923078
DEV,MOMENTUM_ONLY,3,10:30,CONSOLIDATION_BREAKOUT,60,166,143,0.15230221786161427,0.8659428418492938,-0.7136406239876797,-0.7252708241834511,-0.9045864466498226,-0.5334092247321577,0.2097902097902098
DEV,MOMENTUM_ONLY,3,10:30,CONSOLIDATION_BREAKOUT,120,166,143,-0.15547521055960947,0.6855845138525398,-0.8410597244121492,-0.8387548625168978,-1.0954085693450097,-0.6129483496839796,0.2097902097902098
DEV,MOMENTUM_ONLY,3,11:00,CONSOLIDATION_BREAKOUT,30,107,99,-0.22779739263393506,0.9208784525985622,-1.1486758452324972,-1.131675236953843,-1.349945832893341,-0.9137317857807667,0.12121212121212122
DEV,MOMENTUM_ONLY,3,11:00,CONSOLIDATION_BREAKOUT,60,107,99,-0.1888777266692914,0.6720176034131953,-0.8608953300824866,-0.8113370025419311,-1.0850158679173947,-0.5532647036087384,0.21212121212121213
DEV,MOMENTUM_ONLY,3,11:00,CONSOLIDATION_BREAKOUT,120,107,99,0.046655066010512045,0.773405669190607,-0.726750603180095,-0.6964953952562785,-0.9539365880775049,-0.4267898337688641,0.21212121212121213
