split,score_family,top_k,snapshot_time,entry_variant,horizon_min,candidates,triggered,trigger_rate,events,sessions,avg_fwd_atr,median_fwd_atr,positive_rate,avg_mfe_atr,avg_mae_atr,avg_entry_delay_min,session_avg_fwd_atr,session_ci_low,session_ci_high
DEV,MOMENTUM_ONLY,1,11:00,IMMEDIATE,30,449,449,1.0,449,449,0.03757958103347078,-0.07756232686982295,0.4521158129175947,1.192130364168316,-1.1120162627652364,5.0,0.03757958103347079,-0.10960089234922579,0.18124302130971137
DEV,MOMENTUM_ONLY,1,11:00,IMMEDIATE,60,449,449,1.0,449,449,-0.07805986790274387,-0.1545253863134675,0.45879732739420936,1.5415988913947047,-1.4918322914589544,5.0,-0.07805986790274387,-0.24656128992950063,0.10326807744070982
DEV,MOMENTUM_ONLY,1,11:00,IMMEDIATE,120,449,449,1.0,449,449,-0.19474183930040123,-0.2418260333127458,0.44543429844098,1.9853803119598505,-2.003862410171331,5.0,-0.19474183930040123,-0.4190364757352018,0.03934695967364907
DEV,MOMENTUM_ONLY,1,11:00,PULLBACK_NEW_HIGH,30,449,117,0.26057906458797325,117,117,0.030781290903620386,-0.04340473506202121,0.4700854700854701,1.3247373056027507,-1.1696410065038079,23.034188034188034,0.030781290903620376,-0.23584967921840683,0.31735343933000293
DEV,MOMENTUM_ONLY,1,11:00,PULLBACK_NEW_HIGH,60,449,117,0.26057906458797325,117,117,-0.08562748934564249,-0.32208588957055306,0.4358974358974359,1.7232060203729285,-1.5699788078448276,23.034188034188034,-0.08562748934564249,-0.45336886067000987,0.30102542362090684
DEV,MOMENTUM_ONLY,1,11:00,PULLBACK_NEW_HIGH,120,449,117,0.26057906458797325,117,117,-0.19106195051354832,-0.3021582733813094,0.4188034188034188,2.0975127233189554,-2.020371867190114,23.034188034188034,-0.1910619505135483,-0.6294304924408755,0.1913240770570544
DEV,MOMENTUM_ONLY,1,11:00,VWAP_RECLAIM,30,449,61,0.1358574610244989,61,61,-0.20188110205331264,0.0,0.4918032786885246,1.1954722190988596,-1.361965439723652,19.18032786885246,-0.2018811020533127,-0.6322113161416157,0.22191473265378808
DEV,MOMENTUM_ONLY,1,11:00,VWAP_RECLAIM,60,449,61,0.1358574610244989,61,61,-0.2759546103896596,-0.07624633431086059,0.45901639344262296,1.3400590036853581,-1.6599869453979779,19.18032786885246,-0.2759546103896597,-0.7834411387669254,0.18958980879616247
DEV,MOMENTUM_ONLY,1,11:00,VWAP_RECLAIM,120,449,61,0.1358574610244989,61,61,-0.22763817015236923,0.0,0.4918032786885246,1.9762598493365346,-2.235638219813229,19.18032786885246,-0.22763817015236923,-0.9560672252508551,0.4711398646858184
DEV,MOMENTUM_ONLY,3,10:30,CONSOLIDATION_BREAKOUT,30,1347,166,0.12323682256867112,166,143,0.14415550790511653,-0.1345177117220951,0.45180722891566266,1.3737738121782095,-1.159121529744914,29.457831325301203,0.10265707118925248,-0.20787237082568108,0.43154488141924024
DEV,MOMENTUM_ONLY,3,10:30,CONSOLIDATION_BREAKOUT,60,1347,166,0.12323682256867112,166,143,0.15230221786161427,-0.14861486833544169,0.45180722891566266,1.7315148128458517,-1.4738059268204335,29.457831325301203,0.11905045487120545,-0.21779442744328423,0.5311940677766321
DEV,MOMENTUM_ONLY,3,10:30,CONSOLIDATION_BREAKOUT,120,1347,166,0.12323682256867112,166,143,-0.15547521055960947,-0.26044997564105954,0.4578313253012048,2.258766455872454,-2.135254097709222,29.457831325301203,-0.144459105234172,-0.6562068215806743,0.3367749434416899
DEV,MOMENTUM_ONLY,3,10:30,IMMEDIATE,30,1347,1347,1.0,1344,449,0.061301162640842705,0.04176052177649378,0.5074404761904762,1.0781789157821258,-0.9719365121309093,5.0,0.0618267343538122,-0.020895502735087054,0.14352290460328876
DEV,MOMENTUM_ONLY,3,10:30,IMMEDIATE,60,1347,1347,1.0,1344,449,0.08121344996061841,-0.014511881828638426,0.4851190476190476,1.4222474249280732,-1.2576607270192475,5.0,0.0813312605499412,-0.03175569008787462,0.19863820692977685
DEV,MOMENTUM_ONLY,3,10:30,IMMEDIATE,120,1347,1347,1.0,1344,449,0.05068849252294895,-0.06686517959216512,0.47693452380952384,1.8457933479935937,-1.6623053362408247,5.0,0.050426601484451335,-0.08981133254299094,0.20256005796061782
DEV,MOMENTUM_ONLY,3,10:30,PULLBACK_NEW_HIGH,30,1347,372,0.27616926503340755,372,258,0.05996771434021242,-0.04272329373783837,0.4731182795698925,1.2095906435463355,-1.1055264375846816,23.051075268817204,0.07414298953303312,-0.09852703150549254,0.24608792174535266
DEV,MOMENTUM_ONLY,3,10:30,PULLBACK_NEW_HIGH,60,1347,372,0.27616926503340755,372,258,-0.017839474873692876,-0.11822032293354169,0.4543010752688172,1.565065281121302,-1.4341042327232854,23.051075268817204,-0.015147338268016773,-0.21095680601374764,0.1926253859980175
DEV,MOMENTUM_ONLY,3,10:30,PULLBACK_NEW_HIGH,120,1347,372,0.27616926503340755,372,258,0.00011606832732618909,-0.07313374452539473,0.4838709677419355,2.052795990114363,-1.9675111830011147,23.051075268817204,-0.05163142803703209,-0.34575642089317643,0.2322721801819437
